"","country","year","emissions"
"233","Slovak Republic",1951,5.699199323
"234","Somalia",1951,0.020603471
"235","South Africa",1951,4.658954551
"236","Spain",1951,1.174026576
"237","Sri Lanka",1951,0.185040684
"238","Sudan",1951,0.096791377
"239","Suriname",1951,1.053975839
"240","Swaziland",1951,0.013144483
"241","Sweden",1951,4.729977267
"242","Switzerland",1951,2.605149094
"243","Syria",1951,0.109056109
"244","Taiwan",1951,0.595483376
"245","Tanzania",1951,0.057004505
"246","Thailand",1951,0.051662155
"247","Togo",1951,0.017997424
"248","Tonga",1951,0.148715973
"249","Trinidad and Tobago",1951,3.883856928
"250","Tunisia",1951,0.383347695
"251","Turkey",1951,0.466217951
"252","Uganda",1951,0.026256171
"253","United Kingdom",1951,10.76864341
"254","United States",1951,16.33665442
"255","Uruguay",1951,1.161065733
"256","Venezuela",1951,8.963270703
"257","Afghanistan",1952,0.01090342
"258","Albania",1952,0.294650131
"259","Algeria",1952,0.425993246
"260","Angola",1952,0.07253909
"261","Argentina",1952,2.022216299
"262","Australia",1952,7.002081852
"263","Austria",1952,3.188072669
"264","Bahamas",1952,0.945643898
"265","Bahrain",1952,10.76383952
"266","Bangladesh",1952,0.032233205
"267","Barbados",1952,0.400752321
"268","Belgium",1952,9.591278819
"269","Belize",1952,0.35018305
"270","Bermuda",1952,2.767367617
"271","Bolivia",1952,0.181740636
"272","Brazil",1952,0.434654088
"273","Brunei",1952,5.966138466
"274","Bulgaria",1952,1.288567777
"275","Cameroon",1952,0.060923987
"276","Canada",1952,10.98830305
"277","Cape Verde",1952,0.197591539
"278","Chile",1952,1.679108786
"279","China",1952,0.221810341
"280","Colombia",1952,0.680641569
"281","Congo, Dem. Rep.",1952,0.164196014
"282","Costa Rica",1952,0.379084177
"283","Cuba",1952,1.017943102
"284","Cyprus",1952,0.622415921
"285","Denmark",1952,5.275271817
"286","Djibouti",1952,0.394738191
"287","Dominica",1952,0.140222061
"288","Ecuador",1952,0.250831463
"289","Egypt",1952,0.48234246
"290","El Salvador",1952,0.170580584
"291","Equatorial Guinea",1952,0.047259182
"292","Ethiopia",1952,0.005169474
"293","Faeroe Islands",1952,1.760056322
"294","Fiji",1952,0.517265514
"295","Finland",1952,2.115782715
"296","France",1952,5.367171176
"297","French Guiana",1952,0.409424201
"298","Gambia",1952,0.039652357
"299","Germany",1952,8.851021079
"300","Ghana",1952,0.166173818
"301","Gibraltar",1952,3.53090343
"302","Greece",1952,0.621713542
"303","Greenland",1952,4.433880966
"304","Grenada",1952,0.142631156
"305","Guadeloupe",1952,0.303684242
"306","Guatemala",1952,0.193585036
